4.1763756699042625e-15	7.886289005491626e-30
4.360528434042051e-15	8.058282182197793e-30
4.552801214964719e-15	8.23402638208214e-30
4.753552056022284e-15	8.413603411733378e-30
4.963154788098691e-15	8.597096861870821e-30
5.181999725746032e-15	8.784592146254381e-30
5.4104943940140486e-15	8.976176541443788e-30
5.649064287328395e-15	9.171939225851657e-30
5.8981536618308175e-15	9.371971328758682e-30
6.158226362656714e-15	9.576365958752096e-30
6.429766687690602e-15	9.78521825949436e-30
6.713280289407958e-15	9.998625449136025e-30
7.009295116482781e-15	1.021668686592775e-29
7.31836239691433e-15	1.043950401456628e-29
7.641057664503779e-15	1.0667180613472683e-29
7.977981830592234e-15	1.0899822643075619e-29
8.329762303055883e-15	1.1137538395145431e-29
8.697054154642033e-15	1.1380438523203051e-29
9.080541342821652e-15	1.1628636094027389e-29
9.480937983429992e-15	1.1882246640286602e-29
9.898989680467007e-15	1.2141388214316627e-29
1.03354749145339e-14	1.2406181442642127e-29
1.0791206492491257e-14	1.2676749584278185e-29
1.1267033061038302e-14	1.295321858381753e-29
1.1763840687031776e-14	1.3235717134218003e-29
1.2282554507487285e-14	1.3524376735101706e-29
1.2824140452335652e-14	1.3819331753374647e-29
1.3389607043142358e-14	1.41207194867745e-29
1.3980007271139563e-14	1.4428680227282317e-29
1.4596440558067924e-14	1.474335732652688e-29
1.5240054803479602e-14	1.506489726251301e-29
1.5912048522314883e-14	1.5393449707810836e-29
1.6613673076732913e-14	1.5729167599191148e-29
1.7346235006352633e-14	1.6072207208890594e-29
1.8111098461243108e-14	1.642272821727695e-29
1.8909687742193978e-14	1.6780893787216952e-29
1.9743489952996366e-14	1.7146870640019446e-29
2.061405776967323e-14	1.7520829133041102e-29
2.1523012331815956e-14	1.7902943338985178e-29
2.2472046261411293e-14	1.8293391126930545e-29
2.346292681478019e-14	1.869235424512707e-29
2.4497499173497967e-14	1.9100018405597868e-29
2.5577689880424063e-14	1.951657337058585e-29
2.6705510427239766e-14	1.994221304088651e-29
2.7883061000174564e-14	2.037713554610702e-29
2.911253439089624e-14	2.0821543336892976e-29
3.039622007984741e-14	2.1275643279166188e-29
3.173650849963239e-14	2.173964675041751e-29
3.3135895486393495e-14	2.2213769738098896e-29
3.459698692746592e-14	2.2698232940160263e-29
3.612250361396596e-14	2.3193261867780402e-29
3.77152863073489e-14	2.369908695033979e-29
3.9378301029371155e-14	2.4215943642681105e-29
4.1114644585307735e-14	2.474407253471288e-29
4.292755033070988e-14	2.528371946340201e-29
4.482039419244166e-14	2.583513562720942e-29
4.679670095520771e-14	2.6398577703020675e-29
4.8860150825278547e-14	2.6974307965681537e-29
5.101458628363628e-14	2.7562594409837416e-29
5.3264019241302334e-14	2.816371087509404e-29
5.561263851017165e-14	2.8777937173170816e-29
5.806481760326518e-14	2.9405559218239957e-29
6.06251228789261e-14	3.0046869160015757e-29
6.329832204412553e-14	3.0702165519746586e-29
6.608939303271233e-14	3.137175332917162e-29
6.900353327513972e-14	3.205594427251053e-29
7.204616937693037e-14	3.275505683154733e-29
7.522296722390306e-14	3.3469416433879957e-29
7.853984253297828e-14	3.4199355604401405e-29
8.200297186821026e-14	3.4945214120087243e-29
8.561880414255888e-14	3.57073391681562e-29
8.939407262681991e-14	3.6486085507681804e-29
9.333580748807593e-14	3.728181563220914e-29
9.745134888101667e-14	3.809489995105757e-29
1.0174836061650705e-13	3.8925716936681966e-29
1.0623484443285583e-13	3.9774653325796214e-29
1.1091915489636037e-13	4.0642104286984704e-29
1.1581001495887492e-13	4.152847360716973e-29
1.2091653220137294e-13	4.24341738794683e-29
1.2624821579375176e-13	4.335962669530981e-29
1.318149942024614e-13	4.430526284066987e-29
1.3762723367893222e-13	4.5271522496595436e-29
1.4369575756322963e-13	4.6258855444103593e-29
1.5003186643888277e-13	4.7267721273549856e-29
1.5664735917641827e-13	4.829858959856271e-29
1.6355455490478617e-13	4.935194027464078e-29
1.707663159515917e-13	5.042826362251723e-29
1.7829607179485217e-13	5.15280606563966e-29
1.8615784407088025e-13	5.265184331716873e-29
1.9436627268486309e-13	5.380013471073998e-29
2.0293664307275905e-13	5.497346935134115e-29
2.1188491466527815e-13	5.617239341088666e-29
2.2122775060695117e-13	5.739746497237014e-29
2.309825487856287e-13	5.864925429038033e-29
2.4116747423019245e-13	5.992834405619914e-29
2.5180149293680866e-13	6.123532966909313e-29
2.6290440718671327e-13	6.257081951348788e-29
2.74496892421297e-13	6.393543524214127e-29
2.866005357431569e-13	6.532981206552486e-29
2.9923787611481054e-13	6.675459904750456e-29
3.124324463299288e-13	6.821045940746898e-29
3.2620881683524455e-13	6.969807082905249e-29
3.405926414847414e-13	7.121812577558583e-29
3.556107053113232e-13	7.277133180673266e-29
3.7129097440492456e-13	7.435841193633457e-29
3.876626479899416e-13	7.598010491198971e-29
4.0475621279896144e-13	7.763716561590594e-29
4.2260349984404186e-13	7.933036538780178e-29
4.412377436912597e-13	8.106049238964931e-29
4.606936443489054e-13	8.282835197255694e-29
4.810074318845719e-13	8.463476705164636e-29
5.022169338914623e-13	8.648057848908719e-29
5.243616459295529e-13	8.836664548530599e-29
5.474828050727821e-13	9.029384597761198e-29
5.716234666992239e-13	9.226307704267897e-29
5.968285846672394e-13	9.427525537354563e-29
6.23145095026911e-13	9.633131756524863e-29
6.506220034226399e-13	9.843222070402093e-29
6.793104763496673e-13	1.0057894273233053e-28
7.092639364344533e-13	1.0277248292072989e-28
7.405381619163403e-13	1.0501386233299982e-28
7.731913905157534e-13	1.07304124301446e-28
